"X","TrumpWrote","text","created_at"
7324,1,"The voters the Republican Party of Virginia are excluding will doom any chance of victory. The Dems LOVE IT! Be smart and win for a change!","2015-12-27 16:25:35"
7325,1,"R.P.Virginia has lost statewide 7 times in a row. Will now not allow desperately needed new voters. Suicidal mistake. RNC MUST ACT NOW!","2015-12-27 16:19:51"
7326,1,"It begins, Republican Party of Virginia, controlled by the RNC, is working hard to disallow independent, unaffiliated and new voters. BAD!","2015-12-27 16:04:38"
7327,1,"""@CAC8438: He supports amnesty and now they are so desperate that Trey Gowdy is going to campaign with him.","2015-12-27 12:46:42"
7328,1,"""@mitchellvii: My prediction on the Trey Gowdy endorsement of Rubio is that it will do nothing for Rubio and finish Gowdy.""","2015-12-27 12:45:41"
7329,1,"""@mitchellvii: Face it, Trey Gowdy failed miserably on Benghazi. He allowed it to drag out and in the end, let Hillary get away with murder.","2015-12-27 12:45:25"
7330,1,"""@Sir_Max: andreajmarkley: Rubio finally gets an endorsement – from #Benghazi loser Gowdy #Tcot #pjnet https://t.co/lJcHG0IHaM via dailyne","2015-12-27 12:37:24"
7331,1,"I will do far more for women than Hillary, and I will keep our country safe, something which she will not be able to do-no strength/stamina!","2015-12-27 03:05:19"
7332,0,"Thank you! #Trump2016
https://t.co/CE9f0mukFm https://t.co/XNV9Bg2ccY","2015-12-27 02:05:01"
7333,1,"Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM, so inappropriate!","2015-12-27 00:31:07"
7334,1,"""@greta: If the insurance companies are making lots of money and the # of uninsured is still large,Obamacare is a failure since so expensive","2015-12-26 23:47:29"
7335,1,"A new terror warning was issued for European cties. At what point do we say we have had enough and get really tough and smart. Weak leaders!","2015-12-26 22:27:17"
7336,0,"#MakeAmericaGreatAgain #Trump2016 
Story: https://t.co/PBOKbGIaVB https://t.co/wm9Y7E9RzB","2015-12-26 17:47:03"
7337,1,"Criminal deportations in the U.S. are the lowest number in many years. We are letting criminals knowingly stay in our country. MUST CHANGE!","2015-12-26 14:11:40"
7338,1,"The Phoenix V.A., it has just been reported, is in worse shape than ever before. The wait is horrendous, and people are dying. I will fix it","2015-12-26 13:00:26"
7339,1,"The same people that said I wouldn't run, or that I wouldn't lead or do well (1st place and leading by 21%), now say I won't beat Hillary.","2015-12-25 21:49:30"
7340,1,".@chucktodd is so dishonest in his reporting...and to think he was going off the air until I came along-no ratings. I will beat Hillary!","2015-12-25 21:42:39"
7341,1,"@CNN just announced that TRUMP was #1 story of 2015. Totally meaningless, however, if we don't WIN IT ALL and Make America Great Again!","2015-12-25 21:11:23"
7342,1,"""@deedeegop: Thank u Mr. Trump, I look forward to when u are elected next President of the United States #MakeAmericaGreatAgain. So nice!","2015-12-25 20:55:35"
7343,1,"""@JodiL792:  You know what's making my Christmas Great, Family/food/friends&amp;YOU! I HAVE MY TRUMP SHIRT ON W/HOPE IN MY HEART for America""","2015-12-25 20:52:03"
7344,1,"""@Jacobsac2015:  @FoxNews Thank you for your tweet today on Christmas. Can't wait to see you as President, Mr. Trump. You are awesome.""","2015-12-25 20:51:33"
7345,1,"""@ClassySnobbb: @realDonaldTrump @FoxNews I'm reading #CrippledAmerica! Best book ever. Thank you!","2015-12-25 20:49:55"
7346,1,"When will the Democrats, and Hillary in particular, say ""we must build a wall, a great wall, and Mexico is going to pay for it?"" Never!","2015-12-25 20:45:06"
7347,1,"Our great VETERANS are being treated very badly because of corruption and incompetence at the V.A. That will stop, I will fix this quickly!","2015-12-25 20:31:40"
7348,1,"Remember when failed candidate @JebBush said that illegals came across the border as AN ACT OF LOVE? He's spent $59 million and is at 3%.","2015-12-25 20:24:41"
7349,1,"We have many problems in our house (country!), and we need to fix them before we let visitors come over and stay. MAKE AMERICA GREAT AGAIN!","2015-12-25 20:15:25"
7350,1,"Does everyone see that the Democrats and President Obama are now, because of me, starting to deport people who are here illegally. Politics!","2015-12-25 20:11:18"
7351,1,".@deedeesorvino was GREAT today on @FoxNews  She gets what is going on in politics, and sees it very clearly. Have her on more!","2015-12-25 19:38:17"
7352,1,"Merry Christmas to all. Have a great day and have a really amazing year. Together, we will MAKE AMERICA GREAT AGAIN! It will be done!","2015-12-25 02:55:58"
7353,1,".@danielhalper  Great job on @CNN today. Very wise indeed!","2015-12-25 02:22:42"
7354,1,".@HallieJackson Why didn't you report Hillary lying about the ISIS video. Bad reporting. Perhaps @NBC will do better next year-but doubt it!","2015-12-25 01:56:08"
7355,1,"""@YesMrGilbert: @NBCNightlyNews @HallieJackson should have talked to Megyn Kelly about this story""  True, a total distortion of the facts!","2015-12-25 01:50:38"
7356,1,"I am now in Palm Beach, Florida, and will be going to church tonight. MAKE AMERICA GREAT AGAIN!","2015-12-24 23:28:54"
7357,1,".@meetthepress and @chucktodd very dishonest in not showing the new @CNN Poll where I am at 39%, 21points higher than Cruz. Be honest Chuck!","2015-12-24 23:04:08"
7358,1,"Why isn't @chucktodd using the much newer @CNN Poll when discussing how well I am doing instead of the older Q Poll? CNN even better!","2015-12-24 22:56:55"
7359,1,"Wow, because of the pressure put on by me, ICE TO LAUNCH LARGE SCALE DEPORTATION RAIDS. It's about time!","2015-12-24 22:42:10"
7360,1,"Next year will be an interesting one. I look forward to running against Hillary Clinton, a totally flawed candidate, and beating her soundly","2015-12-24 22:35:38"
7361,1,"Third rate reporters Amy Chozick and Maggie Haberman of the failing @nytimes are totally in the Hillary circle of bias. Think about Bill!","2015-12-24 22:31:41"
7362,1,"Wow, even lowly Rand Paul has just past @JebBush in the new @CNN Poll. Jeb is at 3%, I'm at 39%. Stop throwing your money down the drain!","2015-12-24 22:20:24"
7363,1,"In the ridiculous @JebBush ad about me, Jeb is speaking to me during the debate, but doesn't allow my answer, which destroys him - SO SAD!","2015-12-24 22:14:10"
7364,1,"Poor @JebBush spent $50 million on his campaign, I spent almost nothing. He's bottom (and gone), I'm top (by a lot). That's what U.S. needs!","2015-12-24 20:10:14"
7365,1,"""@classyexplorer: @gatewaypundit Jim you fail to mention in your CNN POLL that in the GOP RACE...Trump is leading Cruz 39 to 18...Big Detail","2015-12-24 20:02:02"
7366,0,"A great Christmas movie &amp; perfect #TBT! #MakeAmericaGreatAgain 
Story: https://t.co/qUpZphfhV3 https://t.co/PSeVbWUJIV","2015-12-24 19:45:35"
7367,1,"""@ihatematt: @realDonaldTrump why is Hillary even allowed to run... She's a criminal.""","2015-12-24 14:53:19"
7368,1,"""@ihatematt: @realDonaldTrump why is Hillary even allowed to run... She's a criminal.""  Good question!","2015-12-24 03:25:20"
7369,1,"Hillary said ""I really deplore the tone and inflammatory rhetoric of his campaign."" I deplore the death and destruction she caused-stupidity","2015-12-24 03:22:59"
7370,0,"Merry Christmas &amp; Happy Holidays!
#MakeAmericaGreatAgain #Trump2016
https://t.co/XIVw5LdTqv https://t.co/Sqim2YyoCH","2015-12-24 01:57:28"
7371,1,"Hillary, when you complain about ""a penchant for sexism,"" who are you referring to. I have great respect for women. BE CAREFUL!","2015-12-23 23:17:09"
7372,1,"It is hard to believe I am winning by so much when I am treated so badly by the media.  New @CNN Poll amazing in ALL categories. 21 pt. Lead","2015-12-23 17:20:55"
7373,1,"Why does @FoxNews give @KarlRove so much airtime. He (and other Fox pundits) is so biased. Still thinks Romney won. Unfair coverage of Trump","2015-12-23 15:55:23"
7374,1,".@FoxNews treats me so badly. Using old Quinnipiac Poll where I have a much smaller lead than the just out @CNN Poll. All negative!","2015-12-23 15:49:01"
7375,1,"The @washingtonpost, which is the lobbyist (power) for not imposing taxes on #Amazon, today did a nasty cartoon attacking @tedcruz kids. Bad","2015-12-23 14:55:24"
7376,0,"The silent majority- is silent no more! Remember the importance of VOTING!
#MakeAmericaGreatAgain #Trump2016 https://t.co/wBdSg5ab25","2015-12-23 14:40:52"
7377,1,"The Hillary Clinton staged event yesterday was pathetic. Be careful Hillary as you play the war on women or women being degraded card.","2015-12-23 14:20:57"
7378,0,"#MakeAmericaGreatAgain #Trump2016 https://t.co/e9dEs4HuwQ","2015-12-23 12:43:45"
7379,0,"Thank you America! Together- we will #MakeAmericaGreatAgain! https://t.co/MWMFn4asWH","2015-12-23 12:42:25"
7380,1,"Big news just out - NEW @CNN POLL  TRUMP  39 and leads in every major category. Likeability way up. CRUZ 18  CARSON 10  RUBIO 10","2015-12-23 12:02:24"
7381,1,"We need a PRESIDENT with strength, stamina, heart and incredible deal making skill if our country is ever going to be able to prosper again!","2015-12-23 06:02:10"
7382,1,"It is a shame that the biased media is able to so incorrectly define a word for the public when they know that the definition is wrong. Sad!","2015-12-23 05:48:08"
7383,1,"When I said that Hillary Clinton got schlonged by Obama, it meant got beaten badly. The media knows this. Often used word in politics!","2015-12-23 03:37:51"
7384,0,"#MakeAmericaGreatAgain #Trump2016 https://t.co/TUDwrg6RsD","2015-12-23 03:10:19"
7385,1,"Wow, new Reuters Poll just out. Big lead if you want to MAKE AMERICA GREAT AGAIN!  TRUMP 37  CRUZ 11 This is at the top of Drudge!","2015-12-23 02:59:33"
7386,0,"For those on TV defending my use of the word ""schlonged,"" bc #MSM is giving it false meaning-tell them it means beaten badly. Dishonest #MSM","2015-12-23 00:52:12"
7387,0,"NPR's @NealConan said ""schlonged"" to WaPo re: 1984 Mondale/Ferraro campaign: ""That ticket went on to get schlonged at the polls."" #Hypocrisy","2015-12-23 00:48:24"
7388,0,"Once again, #MSM is dishonest. ""Schlonged"" is not vulgar. When I said Hillary got ""schlonged"" that meant beaten badly.","2015-12-23 00:47:59"
7389,1,"Jeb's big ad buy against me, paid for by lobbyists, shows my face but doesn't have me answering Jeb's statements. He is really pathetic!","2015-12-22 22:50:23"
7390,1,"Watching @CNN and consider @secupp to be one of the least talented people on television. Boring and biased!","2015-12-22 22:39:11"
7391,0,"Women defy media narrative, love Trump at packed Michigan rally.
VIDEO: https://t.co/yreUny7shA https://t.co/dE9odwIRQi","2015-12-22 22:13:13"
7392,1,"""@schoremis1:  @JebBush The Donald should've been named Man of the Year. He dominates the polls, news, talk shows &amp; social media. MAGA!""","2015-12-22 22:10:52"
7393,1,"""@qbeacademy: Well I'm at 42% and your at 3% .You know Jeb you started over here you keep on moving further and further off stage.  Classic""","2015-12-22 21:40:45"
7394,1,"""@_MSFL_: @realDonaldTrump @TrumpUSA16 A GREAT PATRIOT""","2015-12-22 21:17:58"
7395,1,"""@realNevaDie: This suggests that online polls are more reliable so Trump is crushing both parties. @realDonaldTrump","2015-12-22 21:17:23"
7396,1,"""@philmonaco67: @realDonaldTrump 100% Donald Trump Supporter Go Trump Make AMERICA GREAT AGAIN""","2015-12-22 21:15:17"
7397,1,"""@daveandlouanns: THANK YOU SIR FOR CARING FOR THE PEOPLE OF AMERICA. I WAS IN NEWMARKET NH. OFFICE. https://t.co/VRBYXBC6I4""","2015-12-22 21:14:33"
7398,1,"""@janienorris22: @realDonaldTrump Got my autographed book yesterday can't wait to read it. You got them scared to death! Love it."". Great!","2015-12-22 21:13:37"
7399,1,"""@TrumpUSA16: Trump is the only leader with plan expertise passion to bring back jobs/companies to USA #Trump2016 https://t.co/LLgJnmGcXv""","2015-12-22 21:11:05"
7400,0,"Video from Michigan last night. After asking for months, the media panned their cameras! https://t.co/jXwS0y08L7 https://t.co/ikjkpmOAeu","2015-12-22 19:32:02"
7401,0,"THANK YOU America! 
#MakeAmericaGreatAgain #Trump2016 https://t.co/x0QaqjjMj0","2015-12-22 19:06:04"
7402,0,"Thank you - Michigan!
#MakeAmericaGreatAgain #Trump2016 https://t.co/5GilNQKyzJ","2015-12-22 17:07:13"
7403,0,"Thank you - New Hampshire!
#MakeAmericaGreatAgain #Trump2016
https://t.co/VlGF418r2x https://t.co/zZleg3vnJN","2015-12-22 14:57:32"
7404,0,"THANK YOU Grand Rapids, Michigan! Time to end political correctness &amp; secure our homeland! https://t.co/cyRCfwxJg3 https://t.co/PPrriLTFgA","2015-12-22 02:27:59"
7405,0,"@HerschelWalker, thanks for your support- it is very much appreciated!","2015-12-21 22:21:47"
7406,1,"Getting ready to leave for Michigan - will be an amazing evening! See you there.","2015-12-21 20:08:37"
7407,1,"Do you think that Hillary Clinton will apologize to me for the lie she told about ""the video"" of me being used by ISIS. There is no video.","2015-12-21 18:51:21"
7408,1,"Thanks @AndreaTantaros for all of your kind words and thoughts. Big progress is being made. Keep up the great work!","2015-12-21 18:14:38"
7409,1,"A suicide bomber has just killed U.S. troops in Afghanistan. When will our leaders get tough and smart. We are being led to slaughter!","2015-12-21 18:08:46"
7410,1,"""@DRUDGE_REPORT: UPDATE: ISIS jihadists stole 'tens of thousands' of blank passports... https://t.co/qg3uo1hm1J""  Here we go!","2015-12-21 17:42:48"
7411,0,"Phyllis Schlafly: Trump is 'last hope for America' https://t.co/jCxqfVCGB6 https://t.co/sk713ir5NQ","2015-12-21 16:56:21"
7412,1,"Getting ready to go to the great State of Michigan. Big crowd tonight. Make America Great Again!","2015-12-21 15:20:43"
7413,1,"Just out: TRUMP GOP DEBATE - 18,000,000. CLINTON DEMOCRAT DEBATE - 6,700,000. And they were on major network vs. cable!","2015-12-21 12:52:56"
7414,1,"Hillary said with respect to ISIS, ""we are finally where we need to be."" Do we want 4  more years of incompetent leadership?  MAGA!","2015-12-21 12:34:40"
7415,1,"I demand an apology from Hillary Clinton for the disgusting story she made up about me for purposes of the debate. There never was a video.","2015-12-21 11:51:04"
7416,1,"Hillary said at debate ISIS is ""going to people showing videos in order to recruit more radical jihadistst."" She made up story-want apology!","2015-12-21 11:47:58"
7417,1,"Very sad what happened last night at the Miss Universe Pageant. I sold it 6 months ago for a record price. This would never have happened!","2015-12-21 11:41:30"
7418,1,"""@msully65:  Tell this knitwit @SpeakerRyan, the ppl want @realDonaldTrump, not him or his choice for President! Thts why Trump has 40%""","2015-12-21 11:34:54"
7419,1,"""@drdoucette: #MissUniverse DonaldTrump must be overjoyed that as soon as he sells the pageant it goes off the rails. We need you Mr Trump","2015-12-21 05:31:07"
7420,1,".@JebBush today said he didn't want to be the front-runner, he would rather be where he is now, 2%. That is the talk of a loser, can't win!","2015-12-21 04:42:21"
7421,0,"Great poll out of Illinois! Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/Fd48umfyCw","2015-12-21 04:17:30"
7422,1,"""@Themyamccurry: Where's @realDonaldTrump when you need em? #MissUniverse2015""","2015-12-21 03:16:37"
7423,1,".@MissUniverse final 3 on now. Great people, great new owner @IMG. WATCH.","2015-12-21 02:49:09"
7424,0,"My friend, @AriEmanuel of @IMG, bought the Miss Universe pageants from me and they are on tonight on #Fox! Tune in!","2015-12-21 00:45:26"
7425,1,"It was really strange when Hillary was missing from the podium last night. Not very presidential!","2015-12-20 23:44:10"
7426,1,"Hillary Clinton spokesperson admitted that their was no ISIS video of me. Therefore, Hillary LIED at the debate last night. SAD!","2015-12-20 23:37:15"
7427,1,".@JebBush was terrible on Face The Nation today. Being at 2% and falling seems to have totally affected his confidence. A basket case!","2015-12-20 23:13:09"
7428,0,"We need a #POTUS with great strength &amp; stamina. Hillary does not have that.
#Trump2016 https://t.co/n2C6bAdYNa https://t.co/cUy3VaDAGo","2015-12-20 21:21:55"
7429,1,"""@blueeyd2020: @JebBush reminds me now of @BobbyJindal but no one cares Jeb! You lost your chance. #Trump2016 @realDonaldTrump""","2015-12-20 13:27:23"
7430,1,"Hillary Clinton lied when she said that ""ISIS is using video of Donald Trump as a recruiting tool."" This was fact checked by @FoxNews: FALSE","2015-12-20 09:05:41"
7431,1,"""@AniesiODaniels: #DemDebate Q: Who are you voting for in 2016. A: #Trump! Donald Trump! Donald Trump!. #Trump2016 https://t.co/wv37BOoArX""","2015-12-20 08:30:11"
7432,1,"""@constant4change: Trump tops Dem candidates on Google before Dem debate https://t.co/vLi1g2Ry7z""","2015-12-20 08:21:23"
7433,1,"""@autumnandews08: @realDonaldTrump @jonkarl Hillary is so worried because she knows you will take her out! #TrumpRocksAmerica""","2015-12-20 05:25:13"
7434,1,"""@DomineekSmith: @realDonaldTrump is the best Republican presidential candidate of all time.""  Thank you.","2015-12-20 05:11:04"
7435,1,"""@TheRealRyder: You are a blessing to America, Mr. Trump. Thank you for all you are doing! #VoteTrump2016 #MakeAmericaGreatAgain""","2015-12-20 05:05:20"
7436,1,"""@twister2445: @realDonaldTrump all I heard from the debate is a pathway to citizenship for all and taking our guns away. #tryme!!""","2015-12-20 04:00:56"
7437,1,"""@ofccadjust: @kellyz713 @tedb75 @TeresaC85469500 @MichaelCohen212  Right,  same old political bullshit year after year, #WhyISupportTrump""","2015-12-20 04:00:21"
7438,1,".@GStephanopoulos stupidly believes that Hillary wants to run against me because she said so. She says that so people believe it - opposite!","2015-12-20 03:44:41"
7439,0,"#MakeAmericaGreatAgain #Trump2016 https://t.co/7FkgBAqF4A","2015-12-19 23:46:38"
7440,0,"Thank you America! @FoxNews post-debate poll with +/- from previous poll. #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/KorKlSr01P","2015-12-19 23:23:32"
7441,0,"Thank you Cedar Rapids, Iowa!
#MakeAmericaGreatAgain https://t.co/0llSs8U77Q https://t.co/dlpd0EkR45","2015-12-19 22:28:10"
7442,1,"President Obama spends so much time speaking of the so-called Carbon footprint, and yet he flies all the way to Hawaii on a massive old 747.","2015-12-19 19:25:05"
7443,1,"See, Sanders backed Hillary on E-mails at the debate, hurting himself, and then she threw him under the bus (but failed). Disloyal person!","2015-12-19 15:56:51"
7444,1,"""@WilliamESammon1: #HillaryForPrison2016 https://t.co/RUEU1ctbz8""","2015-12-19 00:41:16"
7445,1,"""@nepafortrump: We now LIVE in a #CrippledAmerica but @realDonaldTrump WILL make the USA STRONGER than EVER b4 https://t.co/FsGNXnVljs""","2015-12-19 00:41:01"
7446,1,"""@thehill: NEW POLL: Trump's massive lead grows in post-debate poll https://t.co/jNDY8kgIgl https://t.co/bPlj1VPz8T""","2015-12-19 00:36:31"
