"Sales","Date","Promo","SchoolHoliday","Month","DayOfWeek"
3383,2013-10-16,0,1,"October","Wednesday"
3223,2013-10-17,0,1,"October","Thursday"
3566,2013-10-18,0,1,"October","Friday"
3667,2013-10-19,0,1,"October","Saturday"
5055,2013-10-21,1,1,"October","Monday"
4068,2013-10-22,1,1,"October","Tuesday"
4612,2013-10-23,1,1,"October","Wednesday"
4044,2013-10-24,1,1,"October","Thursday"
4573,2013-10-25,1,1,"October","Friday"
4347,2013-10-26,0,0,"October","Saturday"
3557,2013-10-28,0,0,"October","Monday"
3737,2013-10-29,0,0,"October","Tuesday"
4119,2013-10-30,0,0,"October","Wednesday"
4035,2013-10-31,0,0,"October","Thursday"
5471,2013-11-01,0,0,"November","Friday"
5233,2013-11-02,0,0,"November","Saturday"
5861,2013-11-04,1,0,"November","Monday"
5348,2013-11-05,1,0,"November","Tuesday"
5572,2013-11-06,1,0,"November","Wednesday"
5009,2013-11-07,1,0,"November","Thursday"
5242,2013-11-08,1,0,"November","Friday"
4681,2013-11-09,0,0,"November","Saturday"
4014,2013-11-11,0,0,"November","Monday"
4017,2013-11-12,0,0,"November","Tuesday"
3310,2013-11-13,0,0,"November","Wednesday"
3795,2013-11-14,0,0,"November","Thursday"
4016,2013-11-15,0,0,"November","Friday"
5071,2013-11-16,0,0,"November","Saturday"
5927,2013-11-18,1,0,"November","Monday"
5143,2013-11-19,1,0,"November","Tuesday"
4936,2013-11-20,1,0,"November","Wednesday"
4623,2013-11-21,1,0,"November","Thursday"
5058,2013-11-22,1,0,"November","Friday"
5297,2013-11-23,0,0,"November","Saturday"
4600,2013-11-25,0,0,"November","Monday"
4201,2013-11-26,0,0,"November","Tuesday"
4561,2013-11-27,0,0,"November","Wednesday"
4614,2013-11-28,0,0,"November","Thursday"
5623,2013-11-29,0,0,"November","Friday"
6373,2013-11-30,0,0,"November","Saturday"
6943,2013-12-02,1,0,"December","Monday"
6293,2013-12-03,1,0,"December","Tuesday"
5688,2013-12-04,1,0,"December","Wednesday"
5691,2013-12-05,1,0,"December","Thursday"
6112,2013-12-06,1,0,"December","Friday"
5799,2013-12-07,0,0,"December","Saturday"
4462,2013-12-09,0,0,"December","Monday"
4228,2013-12-10,0,0,"December","Tuesday"
4301,2013-12-11,0,0,"December","Wednesday"
4074,2013-12-12,0,0,"December","Thursday"
4703,2013-12-13,0,0,"December","Friday"
6119,2013-12-14,0,0,"December","Saturday"
8277,2013-12-16,1,0,"December","Monday"
7356,2013-12-17,1,0,"December","Tuesday"
7821,2013-12-18,1,0,"December","Wednesday"
6788,2013-12-19,1,0,"December","Thursday"
8414,2013-12-20,1,0,"December","Friday"
8043,2013-12-21,0,0,"December","Saturday"
9528,2013-12-23,0,1,"December","Monday"
3204,2013-12-24,0,1,"December","Tuesday"
6110,2013-12-27,0,1,"December","Friday"
5659,2013-12-28,0,1,"December","Saturday"
7193,2013-12-30,0,1,"December","Monday"
2362,2013-12-31,0,1,"December","Tuesday"
4969,2014-01-02,0,1,"January","Thursday"
4190,2014-01-03,0,1,"January","Friday"
5173,2014-01-04,0,1,"January","Saturday"
6194,2014-01-06,1,1,"January","Monday"
5539,2014-01-07,1,1,"January","Tuesday"
4931,2014-01-08,1,1,"January","Wednesday"
4396,2014-01-09,1,1,"January","Thursday"
4486,2014-01-10,1,1,"January","Friday"
4454,2014-01-11,0,0,"January","Saturday"
3994,2014-01-13,0,0,"January","Monday"
3621,2014-01-14,0,0,"January","Tuesday"
3776,2014-01-15,0,0,"January","Wednesday"
3632,2014-01-16,0,0,"January","Thursday"
3803,2014-01-17,0,0,"January","Friday"
5128,2014-01-18,0,0,"January","Saturday"
6148,2014-01-20,1,0,"January","Monday"
5151,2014-01-21,1,0,"January","Tuesday"
4562,2014-01-22,1,0,"January","Wednesday"
4597,2014-01-23,1,0,"January","Thursday"
5098,2014-01-24,1,0,"January","Friday"
4546,2014-01-25,0,0,"January","Saturday"
3601,2014-01-27,0,0,"January","Monday"
3581,2014-01-28,0,0,"January","Tuesday"
3789,2014-01-29,0,0,"January","Wednesday"
4549,2014-01-30,0,0,"January","Thursday"
4906,2014-01-31,0,0,"January","Friday"
5292,2014-02-01,0,0,"February","Saturday"
5839,2014-02-03,1,0,"February","Monday"
5540,2014-02-04,1,0,"February","Tuesday"
5031,2014-02-05,1,0,"February","Wednesday"
4823,2014-02-06,1,0,"February","Thursday"
5596,2014-02-07,1,0,"February","Friday"
4726,2014-02-08,0,0,"February","Saturday"
3591,2014-02-10,0,0,"February","Monday"
3461,2014-02-11,0,0,"February","Tuesday"
3662,2014-02-12,0,0,"February","Wednesday"
3638,2014-02-13,0,0,"February","Thursday"
4647,2014-02-14,0,0,"February","Friday"
5258,2014-02-15,0,0,"February","Saturday"
5393,2014-02-17,1,0,"February","Monday"
4602,2014-02-18,1,0,"February","Tuesday"
4935,2014-02-19,1,0,"February","Wednesday"
4563,2014-02-20,1,0,"February","Thursday"
4727,2014-02-21,1,0,"February","Friday"
4820,2014-02-22,0,0,"February","Saturday"
3826,2014-02-24,0,0,"February","Monday"
3499,2014-02-25,0,0,"February","Tuesday"
4108,2014-02-26,0,0,"February","Wednesday"
3826,2014-02-27,0,0,"February","Thursday"
5031,2014-02-28,0,0,"February","Friday"
5307,2014-03-01,0,0,"March","Saturday"
6198,2014-03-03,1,0,"March","Monday"
5397,2014-03-04,1,0,"March","Tuesday"
4916,2014-03-05,1,0,"March","Wednesday"
4585,2014-03-06,1,0,"March","Thursday"
5340,2014-03-07,1,0,"March","Friday"
4400,2014-03-08,0,0,"March","Saturday"
3573,2014-03-10,0,0,"March","Monday"
3588,2014-03-11,0,0,"March","Tuesday"
3805,2014-03-12,0,0,"March","Wednesday"
3224,2014-03-13,0,0,"March","Thursday"
3883,2014-03-14,0,0,"March","Friday"
5042,2014-03-15,0,0,"March","Saturday"
5563,2014-03-17,1,0,"March","Monday"
5200,2014-03-18,1,0,"March","Tuesday"
4036,2014-03-19,1,0,"March","Wednesday"
4023,2014-03-20,1,0,"March","Thursday"
4510,2014-03-21,1,0,"March","Friday"
5241,2014-03-22,0,0,"March","Saturday"
3850,2014-03-24,0,0,"March","Monday"
3136,2014-03-25,0,0,"March","Tuesday"
3225,2014-03-26,0,0,"March","Wednesday"
3847,2014-03-27,0,0,"March","Thursday"
3987,2014-03-28,0,0,"March","Friday"
4583,2014-03-29,0,0,"March","Saturday"
6008,2014-03-31,1,0,"March","Monday"
5407,2014-04-01,1,0,"April","Tuesday"
4834,2014-04-02,1,0,"April","Wednesday"
4556,2014-04-03,1,0,"April","Thursday"
4738,2014-04-04,1,0,"April","Friday"
4599,2014-04-05,0,0,"April","Saturday"
3751,2014-04-07,0,0,"April","Monday"
3990,2014-04-08,0,0,"April","Tuesday"
3919,2014-04-09,0,0,"April","Wednesday"
3948,2014-04-10,0,0,"April","Thursday"
3733,2014-04-11,0,0,"April","Friday"
4435,2014-04-12,0,0,"April","Saturday"
6803,2014-04-14,1,1,"April","Monday"
6196,2014-04-15,1,1,"April","Tuesday"
6381,2014-04-16,1,1,"April","Wednesday"
6160,2014-04-17,1,1,"April","Thursday"
5871,2014-04-19,0,1,"April","Saturday"
4133,2014-04-22,0,1,"April","Tuesday"
3482,2014-04-23,0,1,"April","Wednesday"
3376,2014-04-24,0,1,"April","Thursday"
3710,2014-04-25,0,1,"April","Friday"
3989,2014-04-26,0,0,"April","Saturday"
5488,2014-04-28,1,0,"April","Monday"
5923,2014-04-29,1,0,"April","Tuesday"
5870,2014-04-30,1,0,"April","Wednesday"
6790,2014-05-02,1,0,"May","Friday"
5498,2014-05-03,0,0,"May","Saturday"
5325,2014-05-05,1,0,"May","Monday"
5055,2014-05-06,1,0,"May","Tuesday"
5075,2014-05-07,1,0,"May","Wednesday"
5222,2014-05-08,1,0,"May","Thursday"
5237,2014-05-09,1,0,"May","Friday"
5996,2014-05-10,0,0,"May","Saturday"
3957,2014-05-12,0,0,"May","Monday"
3535,2014-05-13,0,0,"May","Tuesday"
3710,2014-05-14,0,0,"May","Wednesday"
3589,2014-05-15,0,0,"May","Thursday"
3863,2014-05-16,0,0,"May","Friday"
3785,2014-05-17,0,0,"May","Saturday"
5637,2014-05-19,1,0,"May","Monday"
4909,2014-05-20,1,0,"May","Tuesday"
4298,2014-05-21,1,0,"May","Wednesday"
3801,2014-05-22,1,0,"May","Thursday"
4968,2014-05-23,1,0,"May","Friday"
4574,2014-05-24,0,0,"May","Saturday"
3912,2014-05-26,0,0,"May","Monday"
3971,2014-05-27,0,0,"May","Tuesday"
4616,2014-05-28,0,0,"May","Wednesday"
5407,2014-05-30,0,0,"May","Friday"
4985,2014-05-31,0,0,"May","Saturday"
6071,2014-06-02,1,0,"June","Monday"
5614,2014-06-03,1,0,"June","Tuesday"
5229,2014-06-04,1,0,"June","Wednesday"
5278,2014-06-05,1,0,"June","Thursday"
4957,2014-06-06,1,0,"June","Friday"
4923,2014-06-07,0,0,"June","Saturday"
4607,2014-06-10,0,0,"June","Tuesday"
4207,2014-06-11,0,0,"June","Wednesday"
3702,2014-06-12,0,0,"June","Thursday"
3901,2014-06-13,0,0,"June","Friday"
4757,2014-06-14,0,0,"June","Saturday"
4788,2014-06-16,1,0,"June","Monday"
5770,2014-06-17,1,0,"June","Tuesday"
5256,2014-06-18,1,0,"June","Wednesday"
6362,2014-06-20,1,0,"June","Friday"
3982,2014-06-21,0,0,"June","Saturday"
3755,2014-06-23,0,0,"June","Monday"
3351,2014-06-24,0,0,"June","Tuesday"
3727,2014-06-25,0,0,"June","Wednesday"
2749,2014-06-26,0,0,"June","Thursday"
4019,2014-06-27,0,0,"June","Friday"
5162,2014-06-28,0,0,"June","Saturday"
5738,2014-06-30,1,0,"June","Monday"
5138,2014-07-01,1,0,"July","Tuesday"
5161,2014-07-02,1,0,"July","Wednesday"
4756,2014-07-03,1,0,"July","Thursday"
4025,2014-07-04,1,0,"July","Friday"
5176,2014-07-05,0,0,"July","Saturday"
4223,2014-07-07,0,0,"July","Monday"
4081,2014-07-08,0,0,"July","Tuesday"
3547,2014-07-09,0,0,"July","Wednesday"
3741,2014-07-10,0,0,"July","Thursday"
4020,2014-07-11,0,0,"July","Friday"
4409,2014-07-12,0,0,"July","Saturday"
5083,2014-07-14,1,0,"July","Monday"
5298,2014-07-15,1,0,"July","Tuesday"
5424,2014-07-16,1,0,"July","Wednesday"
4685,2014-07-17,1,0,"July","Thursday"
4609,2014-07-18,1,0,"July","Friday"
4084,2014-07-19,0,0,"July","Saturday"
4507,2014-07-21,0,0,"July","Monday"
3933,2014-07-22,0,0,"July","Tuesday"
3806,2014-07-23,0,0,"July","Wednesday"
3557,2014-07-24,0,0,"July","Thursday"
3858,2014-07-25,0,0,"July","Friday"
4266,2014-07-26,0,0,"July","Saturday"
5372,2014-07-28,1,1,"July","Monday"
5252,2014-07-29,1,1,"July","Tuesday"
5487,2014-07-30,1,1,"July","Wednesday"
5106,2014-07-31,1,0,"July","Thursday"
5038,2014-08-01,1,1,"August","Friday"
4731,2014-08-02,0,1,"August","Saturday"
5655,2014-08-04,1,1,"August","Monday"
5433,2014-08-05,1,1,"August","Tuesday"
5337,2014-08-06,1,1,"August","Wednesday"
4154,2014-08-07,1,1,"August","Thursday"
4451,2014-08-08,1,1,"August","Friday"
4174,2014-08-09,0,1,"August","Saturday"
3886,2014-08-11,0,1,"August","Monday"
3185,2014-08-12,0,1,"August","Tuesday"
4069,2014-08-13,0,1,"August","Wednesday"
3906,2014-08-14,0,1,"August","Thursday"
3746,2014-08-15,0,1,"August","Friday"
4425,2014-08-16,0,1,"August","Saturday"
5623,2014-08-18,1,1,"August","Monday"
5190,2014-08-19,1,1,"August","Tuesday"
4280,2014-08-20,1,1,"August","Wednesday"
4327,2014-08-21,1,1,"August","Thursday"
3971,2014-08-22,1,1,"August","Friday"
3582,2014-08-23,0,1,"August","Saturday"
3414,2014-08-25,0,1,"August","Monday"
3396,2014-08-26,0,1,"August","Tuesday"
3148,2014-08-27,0,1,"August","Wednesday"
3920,2014-08-28,0,1,"August","Thursday"
3869,2014-08-29,0,1,"August","Friday"
4094,2014-08-30,0,1,"August","Saturday"
5464,2014-09-01,1,1,"September","Monday"
5008,2014-09-02,1,1,"September","Tuesday"
4978,2014-09-03,1,1,"September","Wednesday"
4346,2014-09-04,1,1,"September","Thursday"
4706,2014-09-05,1,1,"September","Friday"
3959,2014-09-06,0,0,"September","Saturday"
3676,2014-09-08,0,0,"September","Monday"
3377,2014-09-09,0,0,"September","Tuesday"
3275,2014-09-10,0,0,"September","Wednesday"
3392,2014-09-11,0,0,"September","Thursday"
3906,2014-09-12,0,0,"September","Friday"
4270,2014-09-13,0,0,"September","Saturday"
4611,2014-09-15,1,0,"September","Monday"
4381,2014-09-16,1,0,"September","Tuesday"
4383,2014-09-17,1,0,"September","Wednesday"
3740,2014-09-18,1,0,"September","Thursday"
4128,2014-09-19,1,0,"September","Friday"
3911,2014-09-20,0,0,"September","Saturday"
3982,2014-09-22,0,0,"September","Monday"
3407,2014-09-23,0,0,"September","Tuesday"
3405,2014-09-24,0,0,"September","Wednesday"
2462,2014-09-25,0,0,"September","Thursday"
3518,2014-09-26,0,0,"September","Friday"
3914,2014-09-27,0,0,"September","Saturday"
5280,2014-09-29,1,0,"September","Monday"
4919,2014-09-30,1,0,"September","Tuesday"
4712,2014-10-01,1,0,"October","Wednesday"
5400,2014-10-02,1,0,"October","Thursday"
5355,2014-10-04,0,0,"October","Saturday"
5402,2014-10-06,1,0,"October","Monday"
5439,2014-10-07,1,0,"October","Tuesday"
4944,2014-10-08,1,0,"October","Wednesday"
4654,2014-10-09,1,0,"October","Thursday"
4396,2014-10-10,1,0,"October","Friday"
4743,2014-10-11,0,0,"October","Saturday"
4033,2014-10-13,0,0,"October","Monday"
3681,2014-10-14,0,0,"October","Tuesday"
3775,2014-10-15,0,0,"October","Wednesday"
3430,2014-10-16,0,0,"October","Thursday"
3720,2014-10-17,0,0,"October","Friday"
4169,2014-10-18,0,0,"October","Saturday"
4652,2014-10-20,1,1,"October","Monday"
4678,2014-10-21,1,1,"October","Tuesday"
4868,2014-10-22,1,1,"October","Wednesday"
4466,2014-10-23,1,1,"October","Thursday"
4196,2014-10-24,1,1,"October","Friday"
4596,2014-10-25,0,1,"October","Saturday"
4260,2014-10-27,0,1,"October","Monday"
3364,2014-10-28,0,1,"October","Tuesday"
3761,2014-10-29,0,1,"October","Wednesday"
4042,2014-10-30,0,1,"October","Thursday"
4161,2014-10-31,0,1,"October","Friday"
6532,2014-11-01,0,0,"November","Saturday"
5857,2014-11-03,1,0,"November","Monday"
5253,2014-11-04,1,0,"November","Tuesday"
4838,2014-11-05,1,0,"November","Wednesday"
4785,2014-11-06,1,0,"November","Thursday"
5220,2014-11-07,1,0,"November","Friday"
4720,2014-11-08,0,0,"November","Saturday"
5474,2014-11-10,1,0,"November","Monday"
4479,2014-11-11,1,0,"November","Tuesday"
4677,2014-11-12,1,0,"November","Wednesday"
3869,2014-11-13,1,0,"November","Thursday"
5334,2014-11-14,1,0,"November","Friday"
4967,2014-11-15,0,0,"November","Saturday"
3582,2014-11-17,0,0,"November","Monday"
3890,2014-11-18,0,0,"November","Tuesday"
3894,2014-11-19,0,0,"November","Wednesday"
4963,2014-11-20,0,0,"November","Thursday"
4594,2014-11-21,0,0,"November","Friday"
5849,2014-11-22,0,0,"November","Saturday"
6527,2014-11-24,1,0,"November","Monday"
5815,2014-11-25,1,0,"November","Tuesday"
5328,2014-11-26,1,0,"November","Wednesday"
6144,2014-11-27,1,0,"November","Thursday"
7195,2014-11-28,1,0,"November","Friday"
7066,2014-11-29,0,0,"November","Saturday"
7380,2014-12-01,1,0,"December","Monday"
6467,2014-12-02,1,0,"December","Tuesday"
6454,2014-12-03,1,0,"December","Wednesday"
7016,2014-12-04,1,0,"December","Thursday"
6207,2014-12-05,1,0,"December","Friday"
6185,2014-12-06,0,0,"December","Saturday"
4884,2014-12-08,0,0,"December","Monday"
4345,2014-12-09,0,0,"December","Tuesday"
4915,2014-12-10,0,0,"December","Wednesday"
5060,2014-12-11,0,0,"December","Thursday"
5269,2014-12-12,0,0,"December","Friday"
7263,2014-12-13,0,0,"December","Saturday"
8069,2014-12-15,1,0,"December","Monday"
7739,2014-12-16,1,0,"December","Tuesday"
7523,2014-12-17,1,0,"December","Wednesday"
7785,2014-12-18,1,0,"December","Thursday"
7558,2014-12-19,1,0,"December","Friday"
8367,2014-12-20,0,0,"December","Saturday"
9331,2014-12-22,0,1,"December","Monday"
7959,2014-12-23,0,1,"December","Tuesday"
3659,2014-12-24,0,1,"December","Wednesday"
6057,2014-12-27,0,1,"December","Saturday"
6463,2014-12-29,0,1,"December","Monday"
6466,2014-12-30,0,1,"December","Tuesday"
